step,total_steps,loss,kl_loss,policy_ratio,reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
122,500,26.342838,26.342838,1.026676,0.000000,23.415764,1024.000000,0.000000,0.000000,11.911035,
123,500,25.660622,25.660622,4.570351,0.000000,23.319282,1024.000000,0.000000,0.000000,11.906767,
124,500,25.593266,25.593266,0.322479,0.000000,23.670050,1024.000000,0.000000,0.000000,11.907737,
125,500,26.472178,26.472178,0.060987,0.000000,23.355765,1024.000000,0.000000,0.000000,11.910155,
126,500,26.538872,26.538872,0.904753,0.000000,23.397200,1024.000000,0.000000,0.000000,11.913286,
127,500,27.106884,27.106884,1.604241,0.000000,23.401973,1024.000000,0.000000,0.000000,11.911987,
128,500,27.267717,27.267717,1.490638,0.000000,23.573099,1024.000000,0.000000,0.000000,11.908021,
129,500,27.403210,27.403210,0.555339,0.000000,23.436807,1024.000000,0.000000,0.000000,11.909951,
130,500,26.704809,26.704809,0.142531,0.000000,23.604988,1024.000000,0.000000,0.000000,11.911291,
131,500,25.916010,25.916010,0.608060,0.000000,23.552652,1024.000000,0.000000,0.000000,11.914433,
132,500,25.451775,25.451775,3.071008,0.000000,23.436659,1024.000000,0.000000,0.000000,11.912192,
133,500,26.248703,26.248703,0.538696,0.000000,23.466980,1024.000000,0.000000,0.000000,11.912262,
134,500,25.640688,25.640688,0.255751,0.000000,23.551825,1024.000000,0.000000,0.000000,11.913996,
135,500,26.667284,26.667284,0.188278,0.000000,23.976745,1024.000000,0.000000,0.000000,11.915672,
136,500,26.611132,26.611132,2.517098,0.000000,23.522280,1024.000000,0.000000,0.000000,11.914060,
137,500,26.798977,26.798977,1.428041,0.000000,23.478011,1024.000000,0.000000,0.000000,11.913464,
138,500,25.831787,25.831787,0.390185,0.000000,22.675520,955.625000,0.000000,0.000000,11.912470,
139,500,26.537443,26.537443,0.255410,0.000000,23.513856,1024.000000,0.000000,0.000000,11.915705,
140,500,27.346540,27.346540,0.261824,0.000000,23.596350,1024.000000,0.000000,0.000000,11.916925,
141,500,26.381609,26.381609,4.801212,0.000000,23.452752,1024.000000,0.000000,0.000000,11.915518,
